基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
005212,汇安稳裕债券,2018-09-17,1.0567,1.0567,4.5927,4.5513,4.3139,4.8730,,,,,,5.67,0.08%
004224,南方军工改革灵活配置混合,2018-09-17,0.6638,0.6638,-0.1204,3.9787,6.3782,1.0504,-16.0491,-31.3405,,,-20.8820,-33.62,0.15%
573003,诺德增强收益债券,2018-09-17,1.1090,1.1360,0.0903,3.6448,3.6448,4.2293,5.2182,4.6226,0.3620,-0.6272,5.1185,13.8356,0.00%
162411,华宝标普油气上游股票,2018-09-14,0.6970,0.6970,0.2878,3.4125,0,6.0883,28.5978,33.7812,16.7504,25.8123,15.3974,-30.30,0.15%
003834,华夏能源革新股票,2018-09-17,0.8050,0.8050,-2.0681,3.0730,-4.5077,-18.1911,-26.8847,-32.4097,,,-26.0790,-19.50,0.15%
004243,广发道琼斯石油指数C,2018-09-14,1.2057,1.2057,0.2411,2.7702,-1.0180,7.3069,27.8715,37.2609,,,17.0242,20.57,
162719,广发道琼斯石油指数A,2018-09-14,1.1988,1.1988,0.2509,2.7602,-1.0809,7.0071,26.9243,36.3357,,,16.1065,19.88,0.12%
162416,华宝港股通恒生香港35,2018-09-17,0.9992,0.9992,-0.4186,2.7349,-1.4887,-1.4207,,,,,,-0.08,0.10%
163208,诺安油气能源,2018-09-14,0.9760,0.9760,0.2053,2.4134,-0.7121,4.9462,20.0492,19.4614,14.8235,28.4211,8.4444,-2.40,0.15%
160416,华安标普全球石油指数,2018-09-14,1.10,1.14,0.3650,2.3256,-0.3623,6.7961,19.8258,22.3583,23.4569,39.0645,12.1306,14.3180,0.12%
378546,上投摩根全球天然资源混合,2018-09-14,0.7170,0.7170,0.2797,2.2825,-1.6461,-3.4993,5.2863,7.4963,24.6957,48.7552,-0.1393,-28.30,0.16%
118002,易方达标普消费品指数A,2018-09-14,1.9090,1.9090,0.7920,2.2496,-1.0368,-0.4692,6.3510,13.8342,43.75,44.4024,6.0556,90.90,0.12%
